City,Country,Latitude,Longitude,Temperature,Humidity,Wind Speed,Cloudiness
Busselton,AU,-33.65,115.33,57.61,98,3.15,38
Misratah,LY,32.38,15.09,69.39,65,10.96,1
Qaanaaq,GL,77.48,-69.36,-12.33,70,8.9,0
Hobart,AU,-42.88,147.33,58.15,54,5.82,20
Butaritari,KI,3.07,172.79,81.34,72,11.63,92
Gisborne,NZ,-38.65,178.0,73.99,53,8.01,64
Faanui,PF,-16.48,-151.75,79.2,77,10.54,76
Albany,US,42.6,-73.97,57.76,54,3.76,90
Punta Arenas,CL,-53.15,-70.92,57.09,58,32.21,40
Fortuna,US,40.6,-124.16,53.76,62,17.22,75
Kāmākhyānagar,IN,20.93,85.55,62.8,61,3.76,0
Mar del Plata,AR,-38.0,-57.56,62.53,88,9.17,0
Barrow,US,71.29,-156.79,30.2,92,24.16,90
Labuhan,ID,-6.88,112.21,78.85,80,9.1,0
Ushuaia,AR,-54.8,-68.3,57.2,54,9.17,40
Seoul,KR,37.57,126.98,47.08,39,9.17,0
Vaini,TO,-21.2,-175.2,80.6,74,6.93,20
Năsturelu,RO,43.67,25.47,35.6,100,1.12,40
Muhafazat Lahij,YE,13.17,44.58,70.43,83,5.39,8
Antofagasta,CL,-23.65,-70.4,62.6,72,11.41,75
Saint-Augustin,CA,51.23,-58.65,31.73,89,17.31,0
Bluff,NZ,-46.6,168.33,54.0,49,8.01,20
Buraidah,SA,26.33,43.98,68.0,94,5.82,40
Vikārābād,IN,17.33,77.9,69.13,94,4.7,0
Otukpo,NG,7.19,8.13,75.29,74,3.8,94
Hilo,US,19.73,-155.09,72.09,88,5.86,90
Port Alfred,ZA,-33.59,26.89,68.23,87,11.95,8
Kapaa,US,22.08,-159.32,79.12,83,12.75,90
Manokwari,ID,-0.87,134.08,82.56,73,3.58,99
San Patricio,US,28.02,-97.52,74.73,78,17.22,20
Cape Town,ZA,-33.93,18.42,58.91,93,16.11,75
Thompson,CA,55.74,-97.86,17.6,85,5.82,90
Havøysund,NO,71.0,24.66,39.2,80,63.31,100
Mahébourg,MU,-20.41,57.7,73.4,78,8.05,75
